order_id,customer_name,customer_email,phone_number,order_date,raw_address,product_category,product_price,quantity,order_status,payment_method
#1049,elIF Sahin ,emre.koc@gmail.com,0(555) 444 33 22,2024.01.15,Kadıköy / İstanbul / 34710,sports,-100.00,3,pending,havale
ORD-0049,  Mustafa Aydin  ,ayse_demir@hotmail.com,+905423332211,2024-02-28,N/A,Giyim,9999999.99,NULL,pending,CREDIT_CARD
ORD-1051,Ayşe Demir,elif.sahin@gmail.com,532-111-2233,9999-99-99,Nilüfer / Bursa / 16140,electronics, 2500 TL ,,COMPLETED,cash_on_delivery
,emre KOC,emre.koc@gmail.com,5321234567,28/02/2024,"Yıldırım, Bursa - 16300",Book, 2500 TL ,3,CANCELLED,havale
ORD-1053,  ahmet YILMAZ ,N/A,invalid_phone,2024-01-15,N/A,Book,9999999.99,100000,CANCELLED,cash_on_delivery
ORD-1054,Zeynep  AKSOY,ayse_demir@hotmail.com,5321234567,9999-99-99,Odunpazarı - Eskişehir,sports, 2500 TL ,0,99,havale
1055,Deniz Yildiz,zeynep.aksoy@outlook.com,5321234567,28/02/2024,Nilüfer / Bursa / 16140,Book,"1250,50 €",ten,COMPLETED,Kapıda Ödeme
#1056,Deniz Yildiz,N/A,532-111-2233,9999-99-99,"Yıldırım, Bursa - 16300",Ev & Yaşam,$45.90,NULL,1,havale
ORD-1057,elIF Sahin ,invalid_email_format,invalid_phone,,"Yıldırım, Bursa - 16300",Kitap,9999999.99,5,returned,N/A
ORD-1058,BURAK CELIK,,0(555) 444 33 22,2024/03/10,  ,Spor & Outdoor,"1250,50 €",100000,2,havale
ORD-1059,fatma ARSLAN,,N/A,2024-02-28,"Çankaya, Ankara / 06540",home_decor,9999999.99,0,CANCELLED,BANK_TRANSFER
ORD-1060,mehmet KAYA,ahmet.yilmaz@gmail.com,+90 532 123 45 67,2024.01.15,  ,Kitap, 2500 TL ,10,COMPLETED,EFT/Havale
ORD-1061,N/A,N/A,invalid_phone,"Feb 28, 2024",  Sarıyer / İstanbul  ,home_decor,"1250,50 €",100000,1,credit card
ORD-1062,Selin Ozturk ,zeynep.aksoy@outlook.com,0(555) 444 33 22,"Jan 15, 2024",N/A,FASHION,"$1,250.50",NULL,CANCELLED,credit card
#1063,BURAK CELIK,mehmet@yahoo,0500 000 00 00,2024-13-45,N/A,Book,0.00,5,returned,EFT/Havale
ORD-1064,  Mustafa Aydin  ,N/A,,28/02/2024,N/A,FASHION,"1250,50 €",10,returned,havale
,Selin Ozturk ,invalid_email_format,+905423332211,,N/A,FASHION,9999999.99,ten,shipped,N/A
1066,Ayşe Demir,N/A,+905423332211,2024.01.15,Nilüfer / Bursa / 16140,fashion,FREE,NULL,2,cc
ORD-1067,mehmet KAYA,invalid_email_format,invalid_phone,N/A,Konak - İzmir - 35000,Spor & Outdoor,-100.00,2.0,COMPLETED,Kapıda Ödeme
ORD-1068,CANER ERKIN,fatma@domain,0500 000 00 00,28/02/2024,Kadıköy / İstanbul / 34710,home_decor,$45.90,3,1,EFT/Havale
ORD-1069,Zeynep  AKSOY,burak.celik@gmail.com,+90 532 123 45 67,2024-02-28,Nilüfer / Bursa / 16140,Giyim,$45.90,NULL,99,EFT/Havale
#1070,,invalid_email_format,0500 000 00 00,2024.01.15,Nilüfer / Bursa / 16140,Giyim, 899.99 TL ,1,COMPLETED,cash_on_delivery
ORD-1071,Deniz Yildiz,,invalid_phone,N/A,Konak - İzmir - 35000,FASHION,"1250,50 €",,99,CREDIT_CARD
ORD-1072,,zeynep.aksoy@outlook.com,N/A,9999-99-99,Kadıköy / İstanbul / 34710,ELECTRONICS,9999999.99,3,3,N/A
ORD-1073,mehmet KAYA,ahmet.yilmaz@gmail.com,+905423332211,28/02/2024,Odunpazarı - Eskişehir,home_decor, 899.99 TL ,5,pending,Kapıda Ödeme
ORD-1074,elIF Sahin ,emre.koc@gmail.com,invalid_phone,15-01-2024,"Çankaya, Ankara / 06540",FASHION,"$1,250.50",NULL,1,cash_on_delivery
ORD-1075,N/A,,0533 987 65 43,,Kadıköy / İstanbul / 34710,electronics,-100.00,ten,1,EFT/Havale
ORD-1076,mehmet KAYA,invalid_email_format,532-111-2233,"Feb 28, 2024","Çankaya, Ankara / 06540",Kitap,-100.00,10,shipped,cash_on_delivery
#1077,mehmet KAYA,deniz.yildiz@gmail.com,N/A,N/A,"Çankaya, Ankara / 06540",Elektronik,N/A,2.0,1,havale
,UNKNOWN,,invalid_phone,28/02/2024,"Muratpaşa, Antalya",ELECTRONICS,0.00,100000,CANCELLED,credit card
ORD-1079,emre KOC,emre.koc@gmail.com,+905423332211,2024-04-05,"Yıldırım, Bursa - 16300",ELECTRONICS,0.00,1,pending,crypto
ORD-1080,Zeynep  AKSOY,,5321234567,15/01/2024,N/A,sports,FREE,1,COMPLETED,N/A
ORD-1081,Ayşe Demir,zeynep.aksoy@outlook.com,5321234567,2024-13-45,  ,Spor & Outdoor,"1250,50 €",3,3,crypto
ORD-1082,Deniz Yildiz,elif.sahin@gmail.com,N/A,,N/A,FASHION, 899.99 TL ,3,shipped,cash_on_delivery
ORD-1083,  Mustafa Aydin  ,invalid_email_format,0533 987 65 43,15-01-2024,  ,home_decor, 899.99 TL ,,COMPLETED,cash_on_delivery
#1084,  ahmet YILMAZ ,burak.celik@gmail.com,5321234567,"Jan 15, 2024",  ,home_decor,FREE,0,pending,havale
ORD-1085,,deniz.yildiz@gmail.com,+905423332211,2024/03/10,Kadıköy / İstanbul / 34710,Book,-100.00,2.0,CANCELLED,Kapıda Ödeme
ORD-1086,BURAK CELIK,fatma@domain,0(555) 444 33 22,N/A,  ,sports,75.5,10,returned,CREDIT_CARD
ORD-1087,Ayşe Demir,elif.sahin@gmail.com,0(555) 444 33 22,28/02/2024,"Muratpaşa, Antalya",Ev & Yaşam,9999999.99,,pending,N/A
1088,fatma ARSLAN,fatma@domain,5321234567,28/02/2024,N/A,fashion,FREE,10,shipped,havale
ORD-1089,elIF Sahin ,invalid_email_format,0533 987 65 43,N/A,"Muratpaşa, Antalya",fashion, 2500 TL ,NULL,3,BANK_TRANSFER
ORD-1090,N/A,N/A,0500 000 00 00,15-01-2024,"Yıldırım, Bursa - 16300",Book,0.00,0,2,BANK_TRANSFER
#1091,elIF Sahin ,invalid_email_format,5321234567,"Jan 15, 2024",Nilüfer / Bursa / 16140,electronics,75.5,NULL,3,havale
ORD-1092,  ahmet YILMAZ ,ahmet.yilmaz@gmail.com,,15-01-2024,Konak - İzmir - 35000,sports, 899.99 TL ,2.0,1,EFT/Havale
ORD-1093,elIF Sahin ,burak.celik@gmail.com,0500 000 00 00,"Feb 28, 2024",Odunpazarı - Eskişehir,Elektronik,"$1,250.50",0,returned,credit card
ORD-1094,  Mustafa Aydin  ,ayse_demir@hotmail.com,invalid_phone,"Feb 28, 2024","Çankaya, Ankara / 06540",Kitap,9999999.99,100000,1,cc
ORD-1095,mehmet KAYA,emre.koc@gmail.com,N/A,15-01-2024,"Çankaya, Ankara / 06540",home_decor, 2500 TL ,NULL,COMPLETED,EFT/Havale
ORD-1096,UNKNOWN,emre.koc@gmail.com,N/A,2024.01.15,N/A,Giyim, 899.99 TL ,10,shipped,EFT/Havale
ORD-1097,Zeynep  AKSOY,elif.sahin@gmail.com,N/A,9999-99-99,Kadıköy / İstanbul / 34710,Kitap,75.5,2.0,CANCELLED,BANK_TRANSFER
#1098,elIF Sahin ,,0533 987 65 43,"Jan 15, 2024","Muratpaşa, Antalya",Elektronik,"15,000.00",2.0,3,CREDIT_CARD
1099,Zeynep  AKSOY,burak.celik@gmail.com,N/A,"Feb 28, 2024",Nilüfer / Bursa / 16140,electronics,-100.00,0,shipped,N/A
ORD-0099,Ayşe Demir,,0(555) 444 33 22,15-01-2024,"Yıldırım, Bursa - 16300",sports,-100.00,3,2,crypto
ORD-1101,N/A,,532-111-2233,15-01-2024,Konak - İzmir - 35000,ELECTRONICS,"$1,250.50",-5,shipped,EFT/Havale
ORD-1102,emre KOC,deniz.yildiz@gmail.com,+905423332211,"Feb 28, 2024","Çankaya, Ankara / 06540",FASHION,75.5,0,COMPLETED,havale
ORD-1103,fatma ARSLAN,fatma@domain,0500 000 00 00,"Feb 28, 2024","Çankaya, Ankara / 06540",Kitap,"$1,250.50",3,pending,EFT/Havale
,elIF Sahin ,ahmet.yilmaz@gmail.com,0533 987 65 43,2024.01.15,"Yıldırım, Bursa - 16300",Kitap,"$1,250.50",100000,shipped,EFT/Havale
#1105,  ahmet YILMAZ ,emre.koc@gmail.com,532-111-2233,"Feb 28, 2024",N/A,sports, 899.99 TL ,0,3,EFT/Havale
ORD-1106,Zeynep  AKSOY,,0500 000 00 00,15/01/2024,  ,fashion,$45.90,5,pending,credit card
ORD-1107,  Mustafa Aydin  ,mehmet@yahoo,5321234567,28/02/2024,  ,Ev & Yaşam,9999999.99,3,99,CREDIT_CARD
ORD-1108,BURAK CELIK,ayse_demir@hotmail.com,5321234567,15-01-2024,Odunpazarı - Eskişehir,ELECTRONICS,$45.90,NULL,1,crypto
ORD-1109,BURAK CELIK,zeynep.aksoy@outlook.com,+90 532 123 45 67,2024.01.15,N/A,fashion,0.00,10,returned,CREDIT_CARD
1110,N/A,elif.sahin@gmail.com,,"Jan 15, 2024",Nilüfer / Bursa / 16140,FASHION,75.5,10,2,CREDIT_CARD
ORD-1111,Deniz Yildiz,deniz.yildiz@gmail.com,0(555) 444 33 22,N/A,Konak - İzmir - 35000,Ev & Yaşam,"15,000.00",1,99,Kapıda Ödeme
#1112,Ayşe Demir,invalid_email_format,0533 987 65 43,"Feb 28, 2024","Çankaya, Ankara / 06540",sports,"1250,50 €",10,shipped,crypto
ORD-1113,emre KOC,elif.sahin@gmail.com,invalid_phone,2024-04-05,  ,FASHION,-100.00,10,99,cc
ORD-1114,Zeynep  AKSOY,invalid_email_format,N/A,2024/03/10,Konak - İzmir - 35000,ELECTRONICS,N/A,3,pending,crypto
ORD-1115,elIF Sahin ,ahmet.yilmaz@gmail.com,+905423332211,N/A,Nilüfer / Bursa / 16140,Kitap,0.00,100000,returned,cc
ORD-1116,BURAK CELIK,fatma@domain,0500 000 00 00,2024-02-28,Odunpazarı - Eskişehir,Book,"15,000.00",3,returned,cash_on_delivery
,  Mustafa Aydin  ,invalid_email_format,0(555) 444 33 22,9999-99-99,  Sarıyer / İstanbul  ,home_decor,$45.90,1,pending,N/A
ORD-1118,emre KOC,emre.koc@gmail.com,invalid_phone,28/02/2024,Konak - İzmir - 35000,FASHION,"$1,250.50",-5,99,EFT/Havale
#1119,CANER ERKIN,ayse_demir@hotmail.com,0500 000 00 00,15/01/2024,N/A,FASHION,"$1,250.50",-5,COMPLETED,cc
ORD-1120,Ayşe Demir,burak.celik@gmail.com,+905423332211,2024-02-28,"Yıldırım, Bursa - 16300",Spor & Outdoor,$45.90,100000,2,cash_on_delivery
1121,  Mustafa Aydin  ,,,28/02/2024,Odunpazarı - Eskişehir,sports,75.5,10,99,CREDIT_CARD
ORD-1122,UNKNOWN,ayse_demir@hotmail.com,0(555) 444 33 22,2024-13-45,Nilüfer / Bursa / 16140,home_decor,75.5,2.0,COMPLETED,credit card
ORD-1123,Selin Ozturk ,,0533 987 65 43,"Feb 28, 2024",Konak - İzmir - 35000,Spor & Outdoor,N/A,1,1,cash_on_delivery
ORD-1124,Selin Ozturk ,ahmet.yilmaz@gmail.com,+905423332211,2024-02-28,Odunpazarı - Eskişehir,Giyim,"1250,50 €",ten,99,Kapıda Ödeme
ORD-1125,UNKNOWN,,532-111-2233,"Jan 15, 2024",Konak - İzmir - 35000,ELECTRONICS,0.00,3,CANCELLED,N/A
#1126,,deniz.yildiz@gmail.com,532-111-2233,2024.01.15,  ,sports,N/A,10,shipped,CREDIT_CARD
ORD-1127,,emre.koc@gmail.com,0500 000 00 00,15-01-2024,N/A,Elektronik, 2500 TL ,10,pending,EFT/Havale
ORD-1128,elIF Sahin ,,invalid_phone,N/A,Nilüfer / Bursa / 16140,FASHION,N/A,ten,COMPLETED,N/A
ORD-1129,Ayşe Demir,invalid_email_format,invalid_phone,9999-99-99,Odunpazarı - Eskişehir,Kitap,N/A,0,1,Kapıda Ödeme
,elIF Sahin ,ahmet.yilmaz@gmail.com,N/A,2024-04-05,Kadıköy / İstanbul / 34710,Kitap,75.5,10,shipped,BANK_TRANSFER
ORD-1131,UNKNOWN,emre.koc@gmail.com,5321234567,2024.01.15,"Muratpaşa, Antalya",Kitap,N/A,100000,3,credit card
1132,,,+90 532 123 45 67,15-01-2024,  ,electronics,0.00,5,3,credit card
#1133,,elif.sahin@gmail.com,5321234567,N/A,  Sarıyer / İstanbul  ,Elektronik,-100.00,-5,99,cash_on_delivery
ORD-1134,fatma ARSLAN,fatma@domain,+905423332211,2024-04-05,Konak - İzmir - 35000,Ev & Yaşam, 899.99 TL ,0,pending,credit card
ORD-1135,BURAK CELIK,ayse_demir@hotmail.com,532-111-2233,,"Muratpaşa, Antalya",sports,75.5,100000,COMPLETED,crypto
ORD-1136,CANER ERKIN,ayse_demir@hotmail.com,invalid_phone,2024-01-15,Nilüfer / Bursa / 16140,Book, 2500 TL ,10,pending,havale
ORD-1137,UNKNOWN,zeynep.aksoy@outlook.com,5321234567,15/01/2024,"Muratpaşa, Antalya",FASHION,"$1,250.50",,99,cash_on_delivery
ORD-1138,,deniz.yildiz@gmail.com,0(555) 444 33 22,2024-13-45,"Çankaya, Ankara / 06540",sports, 899.99 TL ,0,COMPLETED,credit card
ORD-1139,mehmet KAYA,ahmet.yilmaz@gmail.com,+90 532 123 45 67,15-01-2024,  ,ELECTRONICS, 2500 TL ,ten,99,cc
#1140,Zeynep  AKSOY,burak.celik@gmail.com,5321234567,2024-13-45,N/A,Giyim,0.00,-5,COMPLETED,credit card
ORD-1141,  Mustafa Aydin  ,burak.celik@gmail.com,N/A,28/02/2024,Nilüfer / Bursa / 16140,electronics,75.5,5,CANCELLED,N/A
ORD-1142,BURAK CELIK,invalid_email_format,5321234567,15/01/2024,Odunpazarı - Eskişehir,Book,9999999.99,5,1,Kapıda Ödeme
1143,elIF Sahin ,invalid_email_format,0533 987 65 43,2024-04-05,  ,ELECTRONICS,9999999.99,ten,1,CREDIT_CARD
ORD-1144,Selin Ozturk ,caner@company.co.tr,0(555) 444 33 22,"Jan 15, 2024","Yıldırım, Bursa - 16300",home_decor, 2500 TL ,NULL,CANCELLED,EFT/Havale
ORD-1145,N/A,invalid_email_format,5321234567,,Konak - İzmir - 35000,Kitap,"$1,250.50",0,3,cc
ORD-1146,fatma ARSLAN,elif.sahin@gmail.com,532-111-2233,15/01/2024,Kadıköy / İstanbul / 34710,Elektronik,"$1,250.50",5,CANCELLED,EFT/Havale
#1147,CANER ERKIN,ahmet.yilmaz@gmail.com,532-111-2233,15-01-2024,Kadıköy / İstanbul / 34710,Elektronik,75.5,3,99,credit card
ORD-1148,emre KOC,ayse_demir@hotmail.com,0500 000 00 00,"Feb 28, 2024",Odunpazarı - Eskişehir,Book,0.00,2.0,returned,crypto
ORD-1149,N/A,deniz.yildiz@gmail.com,+90 532 123 45 67,N/A,N/A,Ev & Yaşam, 899.99 TL ,100000,1,CREDIT_CARD
ORD-00149,BURAK CELIK,zeynep.aksoy@outlook.com,invalid_phone,2024-13-45,"Çankaya, Ankara / 06540",FASHION,75.5,10,2,credit card
ORD-1151,CANER ERKIN,deniz.yildiz@gmail.com,532-111-2233,15/01/2024,Konak - İzmir - 35000,Ev & Yaşam,0.00,100000,99,cash_on_delivery
ORD-1152,Zeynep  AKSOY,deniz.yildiz@gmail.com,,15-01-2024,  ,Book,0.00,3,2,credit card
ORD-1153,  Mustafa Aydin  ,,,N/A,"Muratpaşa, Antalya",Giyim, 899.99 TL ,ten,COMPLETED,cash_on_delivery
#1154,  Mustafa Aydin  ,burak.celik@gmail.com,invalid_phone,28/02/2024,"Çankaya, Ankara / 06540",fashion,$45.90,5,shipped,cash_on_delivery
ORD-1155,mehmet KAYA,,0500 000 00 00,15/01/2024,"Çankaya, Ankara / 06540",ELECTRONICS, 2500 TL ,3,2,cash_on_delivery
,Selin Ozturk ,mehmet@yahoo,,2024-01-15,"Yıldırım, Bursa - 16300",Book,"15,000.00",5,2,Kapıda Ödeme
ORD-1157,CANER ERKIN,,invalid_phone,2024-04-05,Kadıköy / İstanbul / 34710,Ev & Yaşam,0.00,0,pending,credit card
ORD-1158,UNKNOWN,fatma@domain,0(555) 444 33 22,"Jan 15, 2024",  ,home_decor, 2500 TL ,5,99,cash_on_delivery
ORD-1159,Ayşe Demir,emre.koc@gmail.com,+905423332211,9999-99-99,"Muratpaşa, Antalya",Giyim,"15,000.00",,99,CREDIT_CARD
ORD-1160,UNKNOWN,,+905423332211,2024-01-15,Konak - İzmir - 35000,Ev & Yaşam,75.5,0,pending,cash_on_delivery
#1161,  ahmet YILMAZ ,mehmet@yahoo,532-111-2233,9999-99-99,  Sarıyer / İstanbul  ,ELECTRONICS,"1250,50 €",100000,1,credit card
ORD-1162,emre KOC,fatma@domain,0(555) 444 33 22,28/02/2024,  Sarıyer / İstanbul  ,FASHION,FREE,-5,pending,havale
ORD-1163,emre KOC,caner@company.co.tr,N/A,9999-99-99,"Çankaya, Ankara / 06540",electronics,"1250,50 €",-5,1,credit card
ORD-1164,elIF Sahin ,burak.celik@gmail.com,invalid_phone,"Feb 28, 2024","Yıldırım, Bursa - 16300",FASHION,$45.90,0,CANCELLED,crypto
1165,Ayşe Demir,caner@company.co.tr,invalid_phone,15/01/2024,Nilüfer / Bursa / 16140,sports,9999999.99,,returned,crypto
ORD-1166,Deniz Yildiz,elif.sahin@gmail.com,+90 532 123 45 67,2024.01.15,  Sarıyer / İstanbul  ,Kitap,"$1,250.50",1,CANCELLED,havale
ORD-1167,N/A,emre.koc@gmail.com,532-111-2233,,Nilüfer / Bursa / 16140,Ev & Yaşam,FREE,2.0,1,N/A
#1168,emre KOC,zeynep.aksoy@outlook.com,532-111-2233,"Jan 15, 2024",  Sarıyer / İstanbul  ,Book,75.5,ten,99,crypto
,  Mustafa Aydin  ,,5321234567,15/01/2024,  Sarıyer / İstanbul  ,Spor & Outdoor,"$1,250.50",3,1,N/A
ORD-1170,,ayse_demir@hotmail.com,5321234567,9999-99-99,  Sarıyer / İstanbul  ,Kitap,$45.90,100000,COMPLETED,havale
ORD-1171,Ayşe Demir,zeynep.aksoy@outlook.com,+90 532 123 45 67,2024-02-28,Konak - İzmir - 35000,Kitap, 899.99 TL ,5,2,Kapıda Ödeme
ORD-1172,  Mustafa Aydin  ,ayse_demir@hotmail.com,0(555) 444 33 22,28/02/2024,"Yıldırım, Bursa - 16300",Giyim,"15,000.00",2.0,COMPLETED,havale
ORD-1173,emre KOC,caner@company.co.tr,0(555) 444 33 22,2024-02-28,Konak - İzmir - 35000,ELECTRONICS,"15,000.00",100000,2,crypto
ORD-1174,fatma ARSLAN,invalid_email_format,5321234567,2024-02-28,Konak - İzmir - 35000,home_decor, 2500 TL ,-5,shipped,BANK_TRANSFER
#1175,mehmet KAYA,deniz.yildiz@gmail.com,532-111-2233,,"Çankaya, Ankara / 06540",Elektronik,9999999.99,10,returned,EFT/Havale
1176,Selin Ozturk ,deniz.yildiz@gmail.com,0500 000 00 00,2024-13-45,"Yıldırım, Bursa - 16300",sports,9999999.99,,pending,cash_on_delivery
ORD-1177,mehmet KAYA,burak.celik@gmail.com,0533 987 65 43,"Feb 28, 2024",  ,sports,N/A,0,1,cash_on_delivery
ORD-1178,fatma ARSLAN,ayse_demir@hotmail.com,+905423332211,"Feb 28, 2024",  ,electronics,"$1,250.50",5,shipped,credit card
ORD-1179,Deniz Yildiz,ayse_demir@hotmail.com,N/A,9999-99-99,N/A,Giyim, 899.99 TL ,,99,CREDIT_CARD
ORD-1180,BURAK CELIK,emre.koc@gmail.com,N/A,2024-13-45,"Muratpaşa, Antalya",fashion,0.00,10,99,cc
ORD-1181,  ahmet YILMAZ ,burak.celik@gmail.com,0533 987 65 43,,Odunpazarı - Eskişehir,Spor & Outdoor, 2500 TL ,NULL,3,CREDIT_CARD
#1182,N/A,N/A,0500 000 00 00,"Feb 28, 2024",N/A,Book,0.00,-5,pending,cash_on_delivery
ORD-1183,,elif.sahin@gmail.com,invalid_phone,28/02/2024,Odunpazarı - Eskişehir,sports,0.00,1,pending,credit card
ORD-1184,CANER ERKIN,ayse_demir@hotmail.com,,2024-13-45,  Sarıyer / İstanbul  ,Ev & Yaşam,N/A,100000,3,cash_on_delivery
